CLUSTER,GRAVE_LESIONADOS,GRAVE_MORTALIDAD,LEVE,TOTAL
4,0.06725432582435521,0.12438785504407443,0.8083578191315703,3063
0,0.029945999018163968,0.042709867452135494,0.9273441335297006,2037
1,0.06553010122535961,0.12093766648907832,0.813532232285562,1877
3,0.04470588235294118,0.07764705882352942,0.8776470588235294,425
7,0.0838150289017341,0.09248554913294797,0.8236994219653179,346
2,0.035856573705179286,0.043824701195219126,0.9203187250996016,251
-1,0.10897435897435898,0.27564102564102566,0.6153846153846154,156
13,0.06923076923076923,0.03076923076923077,0.9,130
20,0.07017543859649122,0.14035087719298245,0.7894736842105263,114
15,0.037037037037037035,0.08333333333333333,0.8796296296296297,108
8,0.12790697674418605,0.11627906976744186,0.7558139534883721,86
23,0.015384615384615385,0.03076923076923077,0.9538461538461539,65
5,0.06349206349206349,0.12698412698412698,0.8095238095238095,63
18,0.025,0.025,0.95,40
21,0.0,0.15789473684210525,0.8421052631578947,38
39,0.125,0.3125,0.5625,16
22,0.06666666666666667,0.26666666666666666,0.6666666666666666,15
9,0.07142857142857142,0.14285714285714285,0.7857142857142857,14
33,0.07142857142857142,0.2857142857142857,0.6428571428571429,14
11,0.07142857142857142,0.07142857142857142,0.8571428571428571,14
10,0.0,0.07692307692307693,0.9230769230769231,13
24,0.08333333333333333,0.16666666666666666,0.75,12
6,0.0,0.09090909090909091,0.9090909090909091,11
14,0.09090909090909091,0.18181818181818182,0.7272727272727273,11
35,0.09090909090909091,0.2727272727272727,0.6363636363636364,11
29,0.1,0.3,0.6,10
34,0.0,0.3333333333333333,0.6666666666666666,9
38,0.0,0.1111111111111111,0.8888888888888888,9
45,0.0,0.0,1.0,9
31,0.3333333333333333,0.3333333333333333,0.3333333333333333,9
12,0.0,0.0,1.0,8
19,0.0,0.25,0.75,8
46,0.14285714285714285,0.0,0.8571428571428571,7
42,0.2857142857142857,0.42857142857142855,0.2857142857142857,7
28,0.0,0.0,1.0,7
26,0.14285714285714285,0.14285714285714285,0.7142857142857143,7
48,0.16666666666666666,0.3333333333333333,0.5,6
17,0.16666666666666666,0.0,0.8333333333333334,6
27,0.16666666666666666,0.16666666666666666,0.6666666666666666,6
25,0.0,0.0,1.0,6
32,0.0,0.16666666666666666,0.8333333333333334,6
30,0.16666666666666666,0.3333333333333333,0.5,6
40,0.0,0.3333333333333333,0.6666666666666666,6
36,0.0,0.0,1.0,6
16,0.0,0.4,0.6,5
37,0.0,0.4,0.6,5
41,0.0,0.6,0.4,5
44,0.2,0.2,0.6,5
43,0.0,0.0,1.0,5
47,0.0,0.0,1.0,5
49,0.2,0.2,0.6,5
50,0.0,0.3333333333333333,0.6666666666666666,3
