CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,CATEGORIA_SEVERIDAD,MORTALIDAD_MULTIPLE,LESION_MULTIPLE
DESPISTE,1,0,1,LIMA,HUARAL,HUARAL,RURAL,CARRETERA,PROVINCIAL,LM-671,-11.4828792384881,-77.25554675971524,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,4,0,4,MADRUGADA,COSTA,LEVE,0,0
DESPISTE,1,3,0,LIMA,LIMA,PACHACAMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.2294,-76.859412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,4,0,5,MADRUGADA,COSTA,GRAVE_LESIONADOS,0,1
ATROPELLO FUGA,2,0,1,LA LIBERTAD,VIRU,VIRU,URBANA,CARRETERA,PROVINCIAL,LI-1150,-8.414865,-78.754544,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,4,0,6,MAÑANA,COSTA,GRAVE_MORTALIDAD,1,0
CHOQUE,1,0,2,LA LIBERTAD,VIRU,VIRU,RURAL,CARRETERA,NACIONAL,PE-1N,-8.432617,-78.772242,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,2021,1,4,0,7,MAÑANA,COSTA,LEVE,0,0
ATROPELLO,1,1,0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.164406,-76.953426,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,4,0,14,TARDE,COSTA,LEVE,0,0
CHOQUE,1,1,2,SAN MARTIN,RIOJA,RIOJA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-6.063829,-77.171368,LLUVIOSO,COMERCIAL,INTERSECCIÓN,PLANA ,CONCRETO,SI,REGULADORA (R),INFORMATIVA (I),SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO,2021,1,4,0,17,TARDE,SELVA,LEVE,0,0
CHOQUE CON OBJETO FIJO,1,0,1,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,PE-1N,-6.680472,-79.903582,DESPEJADO,INDUSTRIAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),SIN_DATO,NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,4,0,21,NOCHE,COSTA,LEVE,0,0
CHOQUE,1,0,2,PIURA,PIURA,PIURA,URBANA,OTRO,URBANO,NO CORRESPONDE,-5.164955595374173,-80.65128116025174,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,CONCRETO,SI,PREVENTIVA (P),REGULADORA (R),SI,IMPRUDENCIA DEL CONDUCTOR,NO ESTABLECER EL DERECHO DE PASO,2021,1,5,1,8,MAÑANA,COSTA,LEVE,0,0
CHOQUE,1,1,2,JUNIN,YAULI,MOROCOCHA,URBANA,CARRETERA,NACIONAL,PE-22,-11.5916549,-76.0752901,DESPEJADO,COMERCIAL,OTRO,INCLINADA,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2021,1,5,1,9,MAÑANA,SIERRA,LEVE,0,0
CHOQUE,1,0,2,PUNO,AZANGARO,AZANGARO,RURAL,CARRETERA,NACIONAL,PE-34B,-14.92116,-70.204043,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),2021,1,5,1,13,TARDE,SIERRA,LEVE,0,0
ATROPELLO,1,0,1,ANCASH,SANTA,CHIMBOTE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-9.103893283331551,-78.5542565472423,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,REGULADORA (R),SIN_DATO,SIN_DATO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,2021,1,5,1,21,NOCHE,SIERRA,LEVE,0,0
CHOQUE,1,3,2,PIURA,SULLANA,MIGUEL CHECA,URBANA,CARRETERA,DEPARTAMENTAL,PI-102,-4.904804841419826,-80.81424317099258,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,NO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,2021,1,5,1,22,NOCHE,COSTA,GRAVE_LESIONADOS,0,1
