variable,fuente,archivo_origen,url_fuente,llave_cruce,anio_dato,nivel_geografico,cobertura_pct,registros_cruzados,registros_no_cruzados,observaciones
MTC_RVN_LONGITUD_KM,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
MTC_RVN_N_CARRILES_MEDIANA,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
MTC_RVN_SUPERFICIE_DOMINANTE,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
MTC_RVN_ESTADO_DOMINANTE,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
MTC_RVN_ES_CONCESIONADA,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
MTC_RVN_CONCESION_PRINCIPAL,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
MTC_RVN_CORREDOR_LOGISTICO,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
MTC_RVN_N_TRAMOS,MTC - Red Vial Nacional SINAC 2022-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/1_Red_vial_nacional_2022-2025.csv,https://www.datosabiertos.gob.pe/dataset/red-vial-nacional-del-sistema-nacional-de-carreteras-2022-2025-ministerio-de-transportes-y-comunicaciones-mtc,COD CARRETERA -> CODIGO_RUTA,2022-2025,Ruta / tramo agregado por código de ruta,55.04,5012,4094,"Cobertura parcial esperada: no aplica a vías urbanas, NO CORRESPONDE, SIN CLASIFICAR o rutas no nacionales."
IDH_UBIGEO,PNUD/IPE - IDH y componentes 2019,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/IDH-y-Componentes-2003-2019.xlsx,https://ipe.org.pe/indice-de-desarrollo-humano-idh/,DEPARTAMENTO + PROVINCIA + DISTRITO,2019,Distrito,96.91,8825,281,Indicador estructural previo al periodo 2021-2025; puede haber no cruces por diferencias de nomenclatura distrital.
IDH_2019,PNUD/IPE - IDH y componentes 2019,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/IDH-y-Componentes-2003-2019.xlsx,https://ipe.org.pe/indice-de-desarrollo-humano-idh/,DEPARTAMENTO + PROVINCIA + DISTRITO,2019,Distrito,96.91,8825,281,Indicador estructural previo al periodo 2021-2025; puede haber no cruces por diferencias de nomenclatura distrital.
IDH_ESP_VIDA_2019,PNUD/IPE - IDH y componentes 2019,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/IDH-y-Componentes-2003-2019.xlsx,https://ipe.org.pe/indice-de-desarrollo-humano-idh/,DEPARTAMENTO + PROVINCIA + DISTRITO,2019,Distrito,96.91,8825,281,Indicador estructural previo al periodo 2021-2025; puede haber no cruces por diferencias de nomenclatura distrital.
IDH_EDUC_SECUND_PCT_2019,PNUD/IPE - IDH y componentes 2019,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/IDH-y-Componentes-2003-2019.xlsx,https://ipe.org.pe/indice-de-desarrollo-humano-idh/,DEPARTAMENTO + PROVINCIA + DISTRITO,2019,Distrito,96.91,8825,281,Indicador estructural previo al periodo 2021-2025; puede haber no cruces por diferencias de nomenclatura distrital.
IDH_ANIOS_EDUC_2019,PNUD/IPE - IDH y componentes 2019,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/IDH-y-Componentes-2003-2019.xlsx,https://ipe.org.pe/indice-de-desarrollo-humano-idh/,DEPARTAMENTO + PROVINCIA + DISTRITO,2019,Distrito,96.91,8825,281,Indicador estructural previo al periodo 2021-2025; puede haber no cruces por diferencias de nomenclatura distrital.
IDH_INGRESO_PERCAP_2019,PNUD/IPE - IDH y componentes 2019,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/IDH-y-Componentes-2003-2019.xlsx,https://ipe.org.pe/indice-de-desarrollo-humano-idh/,DEPARTAMENTO + PROVINCIA + DISTRITO,2019,Distrito,96.91,8825,281,Indicador estructural previo al periodo 2021-2025; puede haber no cruces por diferencias de nomenclatura distrital.
IDH_POBLACION_2019,PNUD/IPE - IDH y componentes 2019,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/IDH-y-Componentes-2003-2019.xlsx,https://ipe.org.pe/indice-de-desarrollo-humano-idh/,DEPARTAMENTO + PROVINCIA + DISTRITO,2019,Distrito,96.91,8825,281,Indicador estructural previo al periodo 2021-2025; puede haber no cruces por diferencias de nomenclatura distrital.
MTC_DEP_RED_TOTAL_KM,MTC - Infraestructura vial existente del SINAC por departamento,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/344790-red-vial-existente-del-sistema-nacional-de-carreteras-segun-departamento-2010-jun-2025.xlsx,https://www.gob.pe/institucion/mtc/informes-publicaciones/344790-estadistica-infraestructura-de-transportes-infraestructura-vial,DEPARTAMENTO,2025 (junio),Departamento,100.0,9106,0,Variables agregadas a nivel departamental; no capturan heterogeneidad intradepartamental.
MTC_DEP_NACIONAL_TOTAL_KM,MTC - Infraestructura vial existente del SINAC por departamento,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/344790-red-vial-existente-del-sistema-nacional-de-carreteras-segun-departamento-2010-jun-2025.xlsx,https://www.gob.pe/institucion/mtc/informes-publicaciones/344790-estadistica-infraestructura-de-transportes-infraestructura-vial,DEPARTAMENTO,2025 (junio),Departamento,100.0,9106,0,Variables agregadas a nivel departamental; no capturan heterogeneidad intradepartamental.
MTC_DEP_DEPARTAMENTAL_TOTAL_KM,MTC - Infraestructura vial existente del SINAC por departamento,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/344790-red-vial-existente-del-sistema-nacional-de-carreteras-segun-departamento-2010-jun-2025.xlsx,https://www.gob.pe/institucion/mtc/informes-publicaciones/344790-estadistica-infraestructura-de-transportes-infraestructura-vial,DEPARTAMENTO,2025 (junio),Departamento,100.0,9106,0,Variables agregadas a nivel departamental; no capturan heterogeneidad intradepartamental.
MTC_DEP_VECINAL_TOTAL_KM,MTC - Infraestructura vial existente del SINAC por departamento,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/344790-red-vial-existente-del-sistema-nacional-de-carreteras-segun-departamento-2010-jun-2025.xlsx,https://www.gob.pe/institucion/mtc/informes-publicaciones/344790-estadistica-infraestructura-de-transportes-infraestructura-vial,DEPARTAMENTO,2025 (junio),Departamento,100.0,9106,0,Variables agregadas a nivel departamental; no capturan heterogeneidad intradepartamental.
MTC_DEP_PAV_TOTAL_KM,MTC - Infraestructura vial existente del SINAC por departamento,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/344790-red-vial-existente-del-sistema-nacional-de-carreteras-segun-departamento-2010-jun-2025.xlsx,https://www.gob.pe/institucion/mtc/informes-publicaciones/344790-estadistica-infraestructura-de-transportes-infraestructura-vial,DEPARTAMENTO,2025 (junio),Departamento,100.0,9106,0,Variables agregadas a nivel departamental; no capturan heterogeneidad intradepartamental.
MTC_DEP_NO_PAV_TOTAL_KM,MTC - Infraestructura vial existente del SINAC por departamento,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/344790-red-vial-existente-del-sistema-nacional-de-carreteras-segun-departamento-2010-jun-2025.xlsx,https://www.gob.pe/institucion/mtc/informes-publicaciones/344790-estadistica-infraestructura-de-transportes-infraestructura-vial,DEPARTAMENTO,2025 (junio),Departamento,100.0,9106,0,Variables agregadas a nivel departamental; no capturan heterogeneidad intradepartamental.
MTC_DEP_PCT_PAVIMENTADA,MTC - Infraestructura vial existente del SINAC por departamento,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/externas/344790-red-vial-existente-del-sistema-nacional-de-carreteras-segun-departamento-2010-jun-2025.xlsx,https://www.gob.pe/institucion/mtc/informes-publicaciones/344790-estadistica-infraestructura-de-transportes-infraestructura-vial,DEPARTAMENTO,2025 (junio),Departamento,100.0,9106,0,Variables agregadas a nivel departamental; no capturan heterogeneidad intradepartamental.
PER_TOTAL_PERSONAS,ONSV - Personas involucradas en siniestros fatales 2021-2025,/home/node-vault07/projects/siniestros-fatales-peru-ml/data/raw/BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,Fuente oficial ONSV compartida por el grupo,CODIGO_SINIESTRO,2021-2025 preliminar,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen gravedad, lugar de atención y lugar de defunción para evitar fuga de información."
