variable,fuente,archivo_origen,llave_cruce,nivel,cobertura_pct,registros_cruzados,registros_no_cruzados,observaciones
PER_TOTAL_PERSONAS,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_N_CONDUCTORES,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_N_CONDUCTORES_FUGADOS,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_N_PEATONES,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_N_PASAJEROS_OCUPANTES,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_EDAD_COND_PROM,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_EDAD_COND_MIN,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_EDAD_COND_MAX,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_ANY_COND_MASCULINO,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_ANY_LIC_PROBLEMA,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_ANY_DOSAJE_POS,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
PER_ANY_DOSAJE_EVALUADO,ONSV - Personas involucradas en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - PERSONAS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde personas involucradas",100.0,9106,0,"Variables agregadas por siniestro. Se excluyen GRAVEDAD, LUGAR ATENCION LESIONADO y LUGAR DE DEFUNCION para evitar fuga de informacion."
VEH_TOTAL,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_N_FUGADOS,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_FUGADO,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_CARGA,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_PUBLICO,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_PARTICULAR,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_MOTO,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_AUTO,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_CAMION_BUS,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_SOAT_PROBLEMA,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
VEH_ANY_CITV_PROBLEMA,ONSV - Vehiculos involucrados en siniestros fatales 2021-2025,C:\Users\romin\OneDrive\Documentos\GitHub\siniestros-fatales-peru-ml\data\raw\BBDD ONSV - VEHICULOS 2021-2025 (preliminar) (1).xlsx,CODIGO_SINIESTRO,"Siniestro, agregado desde vehiculos involucrados",100.0,9106,0,"Variables agregadas por siniestro: cantidad, modalidad, tipo de vehiculo, SOAT, CITV, seguro y fuga."
