CLASE SINIESTRO,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,ZONA,TIPO DE VÍA,RED VIAL,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,MTC_RVN_LONGITUD_KM,MTC_RVN_N_CARRILES_MEDIANA,MTC_RVN_SUPERFICIE_DOMINANTE,MTC_RVN_ESTADO_DOMINANTE,MTC_RVN_ES_CONCESIONADA,MTC_RVN_CONCESION_PRINCIPAL,MTC_RVN_CORREDOR_LOGISTICO,MTC_RVN_N_TRAMOS,IDH_2019,IDH_ESP_VIDA_2019,IDH_EDUC_SECUND_PCT_2019,IDH_ANIOS_EDUC_2019,IDH_INGRESO_PERCAP_2019,IDH_POBLACION_2019,MTC_DEP_RED_TOTAL_KM,MTC_DEP_NACIONAL_TOTAL_KM,MTC_DEP_DEPARTAMENTAL_TOTAL_KM,MTC_DEP_VECINAL_TOTAL_KM,MTC_DEP_PAV_TOTAL_KM,MTC_DEP_NO_PAV_TOTAL_KM,MTC_DEP_PCT_PAVIMENTADA,CATEGORIA_SEVERIDAD,CATEGORIA_SEVERIDAD_ENC
6,1,14,0,4,2,-11.4828792384881,-77.25554675971524,0,4,7,1,7,2,2,0,2021,1,4,0,4,0,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.6447048661877788,79.92873744030881,69.7224229508107,9.344738893386534,1220.4608925685638,104439.11563169166,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,LEVE,2
6,0,14,2,2,4,-12.2294,-76.859412,0,2,7,1,2,2,2,2,2021,1,4,0,5,0,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.6463106547105882,77.51872248135703,70.89234783689217,9.27899743443454,1279.2302833246192,140977.61456102785,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,GRAVE_LESIONADOS,0
1,1,12,2,4,2,-8.414865,-78.754544,0,0,7,1,2,2,2,0,2021,1,4,0,6,1,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.5051395598219868,77.13285387085847,51.52067479184955,6.715328807318118,900.900383457586,67612.41755888652,8931.828000000005,1335.5899999999997,1935.9830000000004,5660.255000000005,1219.309,7712.519000000005,13.651281686122925,GRAVE_MORTALIDAD,1
3,2,12,0,4,1,-8.432617,-78.772242,0,4,7,1,2,2,2,2,2021,1,4,0,7,1,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5051395598219868,77.13285387085847,51.52067479184955,6.715328807318118,900.900383457586,67612.41755888652,8931.828000000005,1335.5899999999997,1935.9830000000004,5660.255000000005,1219.309,7712.519000000005,13.651281686122925,LEVE,2
0,0,14,2,2,4,-12.164406,-76.953426,0,2,7,1,2,2,2,2,2021,1,4,0,14,3,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.689811994580126,79.88015655965044,73.89553442371854,9.755251380104111,1409.8432274455126,452660.364025696,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,LEVE,2
3,2,21,2,6,4,-6.063829,-77.171368,2,0,1,1,4,1,1,2,2021,1,4,0,17,3,1,6543.555,2.0,4,4,1.0,14,33,1198.0,0.5963332411867256,73.80959983510441,63.34953560123128,8.251886446437874,1232.7304200473363,24031.167023554604,5645.136,815.0759999999999,965.298,3864.762,1013.406,4631.73,17.95184385283189,LEVE,2
4,1,13,0,4,1,-6.680472,-79.903582,0,2,0,1,2,1,0,0,2021,1,4,0,21,2,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5539280527450423,74.69452916859504,66.89728158703436,9.542777400516576,872.5509264417765,79617.09421841543,3459.691,515.0619999999999,689.7280000000001,2254.901,703.3549999999999,2756.336,20.329994788551925,LEVE,2
3,2,19,2,7,4,-5.164955595374173,-80.65128116025174,0,4,1,1,4,1,1,2,2021,1,5,1,8,1,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.6582040223794163,78.74105515718446,77.3206684883171,11.334167841567446,1124.177237253568,178905.3426124197,8965.846000060003,1782.4120000599992,636.9959999999999,6546.438000000004,2214.505000059999,6751.341000000004,24.699342371541725,LEVE,2
3,2,11,2,4,1,-11.5916549,-76.0752901,0,0,2,0,2,1,1,0,2021,1,5,1,9,1,2,875.67,2.0,2,0,1.0,3,14,156.0,0.727764014102057,80.04798576459473,69.54405534495044,10.377666215391256,1632.8207901729563,4146.224839400427,12264.545,1826.4639999999995,1105.5389999999998,9332.542,1588.5359999999996,10676.009,12.952261987705208,LEVE,2
3,2,20,0,4,1,-14.92116,-70.204043,2,4,7,1,2,2,2,2,2021,1,5,1,13,3,2,1761.8050000000003,2.0,2,0,1.0,6,22,410.0,0.4384088880022875,66.28408395269946,71.45267205250292,8.282733608109961,563.5418969725097,28239.627408993576,13642.312999999998,2020.7790000000005,2354.117,9267.416999999998,3314.0520000000006,10328.260999999997,24.29244952817019,LEVE,2
0,1,1,2,2,4,-9.103893283331551,-78.5542565472423,0,0,7,1,2,2,2,4,2021,1,5,1,21,2,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.6138280897610826,78.84695742989106,71.99259200326753,9.438855747011283,1055.78291711923,196830.83083511775,10767.648,1885.0630000000003,1222.721,7659.864000000001,2100.343,8667.305000000002,19.506051832303577,LEVE,2
3,2,19,2,4,0,-4.904804841419826,-80.81424317099258,0,4,7,1,2,0,0,2,2021,1,5,1,22,2,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.5214892169331304,81.30000138777692,64.69217807020043,6.638648670954715,828.5092750539112,9423.963597430407,8965.846000060003,1782.4120000599992,636.9959999999999,6546.438000000004,2214.505000059999,6751.341000000004,24.699342371541725,GRAVE_LESIONADOS,0
1,0,14,2,4,1,-12.225604,-76.971698,7,0,7,1,2,2,2,0,2021,1,6,1,0,0,0,6639.975,2.0,2,0,1.0,9,31,1616.0,0.6990481232857558,80.14597904142546,74.3851677794309,10.004397644056358,1432.5044292531525,459161.0728051392,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,LEVE,2
3,2,12,0,4,1,-7.84524,-79.150883,0,4,7,1,2,2,2,2,2021,1,6,1,9,1,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5721567587688113,77.67102283812494,66.21373667954742,8.464777379360486,978.4498488219192,15563.077087794432,8931.828000000005,1335.5899999999997,1935.9830000000004,5660.255000000005,1219.309,7712.519000000005,13.651281686122925,LEVE,2
6,1,14,0,4,1,-10.88706939738808,-76.98079339602495,2,4,5,1,2,1,0,2,2021,1,6,1,16,3,0,1422.177,2.0,2,0,0.0,9,19,698.0,0.1640584330946609,78.15551662977417,55.49596103687552,6.225471087869532,64.54263566018727,1889.8800856531047,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,GRAVE_LESIONADOS,0
0,1,11,0,4,1,-11.299122793253288,-74.54719269575503,5,4,0,1,4,2,2,0,2021,1,6,1,20,2,2,5768.608,2.0,3,1,0.0,9,32,365.0,0.4285012061956566,75.41084938147766,60.01133023046341,7.293281496635318,514.084282951313,59216.39149500083,12264.545,1826.4639999999995,1105.5389999999998,9332.542,1588.5359999999996,10676.009,12.952261987705208,LEVE,2
0,1,12,2,4,1,-8.42432,-78.781809,0,4,7,1,2,2,2,2,2021,1,6,1,21,2,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5051395598219868,77.13285387085847,51.52067479184955,6.715328807318118,900.900383457586,67612.41755888652,8931.828000000005,1335.5899999999997,1935.9830000000004,5660.255000000005,1219.309,7712.519000000005,13.651281686122925,LEVE,2
0,0,14,2,2,4,-12.026010259318932,-76.91912179578782,0,0,7,1,2,2,2,2,2021,1,0,0,1,0,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.6868549636939637,79.62363164345142,76.30894566128948,9.209137883551294,1425.4498631666322,684921.8484148846,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,LEVE,2
1,0,19,0,4,2,-5.334099525062091,-79.44716669304513,0,4,2,0,1,2,2,2,2021,1,0,0,4,0,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.19695808516567,66.95465978688351,41.09367215810477,3.7622106329648792,148.02988722938625,10412.837259100645,8965.846000060003,1782.4120000599992,636.9959999999999,6546.438000000004,2214.505000059999,6751.341000000004,24.699342371541725,LEVE,2
3,2,3,0,4,1,-16.528801,-71.758877,5,4,7,1,2,1,1,2,2021,1,0,0,4,0,0,1504.4250000000002,2.0,2,0,1.0,7,25,241.0,0.6105481451420971,78.10653088113892,68.35418098658066,8.411557426919764,1158.5430895193692,35025.678800856535,10322.272,1495.236,1749.739,7077.2970000000005,2886.595,7435.677000000001,27.964725207783708,LEVE,2
3,2,1,0,4,1,-9.48456685315444,-78.27405272080628,0,4,1,0,2,2,2,2,2021,1,0,0,7,1,2,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5873460606982213,78.04758132038613,65.8701248560095,8.596987164492063,1041.0659985770535,35482.29764453961,10767.648,1885.0630000000003,1222.721,7659.864000000001,2100.343,8667.305000000002,19.506051832303577,LEVE,2
7,0,7,0,4,3,-13.234828053175768,-71.49185821194068,0,4,2,0,7,2,2,6,2021,1,0,0,15,3,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.2466226927938573,59.50771953912937,42.678907967899015,3.991373779253808,285.51302601039464,12676.173447537472,17779.13499998999,2097.3709999899997,2863.123,12818.640999999989,2878.713,14900.421999989989,16.19152450331032,LEVE,2
3,1,20,0,4,0,-16.687,-69.176,6,5,6,2,6,2,2,0,2021,1,0,0,20,2,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.3395425415266465,75.63312664085699,79.14276868152973,8.009431562906503,229.36973523840712,20389.45182012848,13642.312999999998,2020.7790000000005,2354.117,9267.416999999998,3314.0520000000006,10328.260999999997,24.29244952817019,LEVE,2
3,2,12,0,4,1,-7.41567,-79.548581,0,4,7,1,2,2,2,2,2021,1,0,0,20,2,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5968586479601472,81.56479096531379,74.23398565025978,9.72444636404026,898.7633596995952,27553.955032119917,8931.828000000005,1335.5899999999997,1935.9830000000004,5660.255000000005,1219.309,7712.519000000005,13.651281686122925,LEVE,2
