feature,importancia_shap_media_abs
CLASE SINIESTRO,0.28807557
VEH_ANY_MOTO,0.1890534
VEH_ANY_CAMION_BUS,0.12434807
ZONA,0.11743982
VEH_ANY_AUTO,0.09699035
VEH_ANY_PARTICULAR,0.09269845
PER_N_PEATONES,0.08879332
VEH_ANY_CARGA,0.08126165
VEH_ANY_SEGURO_PROBLEMA,0.08093241
IDH_POBLACION_2019,0.07964123
VEH_ANY_PUBLICO,0.072874814
CARACTERÍSTICAS DE VÍA,0.070275374
DIA_MES,0.062672116
PER_ANY_LIC_PROBLEMA,0.054498933
PER_EDAD_COND_MIN,0.053380884
IDH_2019,0.0528686
VEH_ANY_CITV_PROBLEMA,0.04803009
IDH_ESP_VIDA_2019,0.047874022
MES,0.047775015
COORDENADAS  LONGITUD,0.0436258
MTC_RVN_CORREDOR_LOGISTICO,0.04258299
COORDENADAS LATITUD,0.03889884
PER_EDAD_COND_MAX,0.03873174
PER_EDAD_COND_PROM,0.03836125
PER_ANY_DOSAJE_EVALUADO,0.036621373
DEPARTAMENTO,0.03590901
FRANJA_HORARIA,0.035561815
HORA_NUM,0.034519445
ES_QUINCENA,0.030918255
ANIO,0.029355504
MTC_RVN_SUPERFICIE_DOMINANTE,0.029311633
NIVEL_SEÑALIZACION_ORD,0.026590599
MTC_RVN_N_TRAMOS,0.025938898
PERFIL LONGITUDINAL VÍA,0.025903078
MTC_DEP_DEPARTAMENTAL_TOTAL_KM,0.025228277
RED VIAL,0.024835965
PER_N_CONDUCTORES,0.024571113
MTC_RVN_LONGITUD_KM,0.023696953
PER_ANY_DOSAJE_POS,0.022660667
MTC_DEP_VECINAL_TOTAL_KM,0.022154137
MTC_RVN_N_CARRILES_MEDIANA,0.019644711
¿EXISTE SEÑAL VERTICAL?,0.018853158
MTC_DEP_PCT_PAVIMENTADA,0.018755885
CONDICIÓN CLIMÁTICA,0.018569605
MTC_DEP_PAV_TOTAL_KM,0.01777057
ES_VIA_NO_PAVIMENTADA,0.017705189
VEH_ANY_FUGADO,0.017573586
MTC_DEP_NACIONAL_TOTAL_KM,0.017423239
MTC_DEP_NO_PAV_TOTAL_KM,0.017146412
CANTIDAD DE VEHICULOS DAÑADOS,0.016218243
PER_EDAD_COND_PROM_ERA_NULO,0.015770767
SUPERFICIE DE CALZADA,0.015696608
RATIO_CONDUCTORES_FUGADOS,0.015525775
CAUSA FACTOR PRINCIPAL,0.0151436655
MTC_DEP_RED_TOTAL_KM,0.014377322
VEH_ANY_SOAT_PROBLEMA,0.013691603
MTC_RVN_ESTADO_DOMINANTE,0.0134429475
DIA_SEMANA,0.01329936
MTC_RVN_CONCESION_PRINCIPAL,0.012478704
ES_FIN_SEMANA,0.011249282
VEH_N_FUGADOS,0.010452167
VEH_TOTAL,0.0095585
MTC_RVN_ES_CONCESIONADA,0.009501581
ES_CURVA_Y_PENDIENTE,0.00880293
TIPO DE VÍA,0.006159189
ZONIFICACIÓN,0.005742693
ES_VIA_MULTICARRIL,0.0053468966
PER_ANY_COND_MASCULINO,0.005169067
PER_EDAD_COND_MIN_ERA_NULO,0.004957903
¿EXISTE SEÑAL HORIZONTAL?,0.0034081342
REGION_NATURAL,0.00043747935
PER_EDAD_COND_MAX_ERA_NULO,0.00031703955
PER_N_CONDUCTORES_FUGADOS,0.00023418074
MTC_RVN_N_TRAMOS_ERA_NULO,0.0
MTC_RVN_ES_CONCESIONADA_ERA_NULO,0.0
ES_DEPTO_BAJO_PAVIMENTO,0.0
MTC_RVN_N_CARRILES_MEDIANA_ERA_NULO,0.0
MTC_RVN_LONGITUD_KM_ERA_NULO,0.0
