feature,importancia
ZONA,0.08370417
VEH_ANY_MOTO,0.07464012
CLASE SINIESTRO,0.0593491
VEH_ANY_CAMION_BUS,0.035288896
PER_N_PEATONES,0.034389302
VEH_ANY_AUTO,0.033869244
VEH_ANY_SEGURO_PROBLEMA,0.031509038
VEH_ANY_PUBLICO,0.024166115
ES_VIA_NO_PAVIMENTADA,0.016986288
RED VIAL,0.016628735
VEH_ANY_PARTICULAR,0.016346196
PER_ANY_LIC_PROBLEMA,0.016216466
VEH_ANY_CARGA,0.0161513
MTC_RVN_SUPERFICIE_DOMINANTE,0.015894918
VEH_ANY_CITV_PROBLEMA,0.01472661
CARACTERÍSTICAS DE VÍA,0.013410994
FRANJA_HORARIA,0.013044764
ES_VIA_MULTICARRIL,0.013010536
VEH_ANY_FUGADO,0.012916598
DEPARTAMENTO,0.012417211
MTC_RVN_ESTADO_DOMINANTE,0.011946929
MTC_RVN_N_CARRILES_MEDIANA,0.011351519
PER_ANY_DOSAJE_EVALUADO,0.0113106435
MTC_RVN_CONCESION_PRINCIPAL,0.011251539
MTC_DEP_VECINAL_TOTAL_KM,0.011202849
MTC_DEP_NO_PAV_TOTAL_KM,0.011054815
VEH_TOTAL,0.010544152
MTC_RVN_LONGITUD_KM,0.0102742445
MTC_RVN_N_TRAMOS,0.010207766
ES_QUINCENA,0.010068384
RATIO_CONDUCTORES_FUGADOS,0.009979874
MTC_DEP_NACIONAL_TOTAL_KM,0.00982313
MTC_DEP_DEPARTAMENTAL_TOTAL_KM,0.009754586
MTC_RVN_CORREDOR_LOGISTICO,0.009660596
VEH_ANY_SOAT_PROBLEMA,0.00958069
IDH_POBLACION_2019,0.0094977785
MTC_DEP_RED_TOTAL_KM,0.009304731
PER_N_CONDUCTORES,0.00930083
PER_EDAD_COND_MAX_ERA_NULO,0.00904375
VEH_N_FUGADOS,0.008896868
IDH_2019,0.00874733
PER_ANY_DOSAJE_POS,0.008737262
NIVEL_SEÑALIZACION_ORD,0.008684419
CONDICIÓN CLIMÁTICA,0.008387712
MTC_DEP_PAV_TOTAL_KM,0.008263359
DIA_MES,0.008259471
ANIO,0.008122404
COORDENADAS  LONGITUD,0.008095013
SUPERFICIE DE CALZADA,0.008069047
¿EXISTE SEÑAL VERTICAL?,0.008036167
CANTIDAD DE VEHICULOS DAÑADOS,0.0079790335
MTC_RVN_ES_CONCESIONADA,0.00795159
MTC_DEP_PCT_PAVIMENTADA,0.007799399
MES,0.007796823
PER_EDAD_COND_MIN,0.0077341967
COORDENADAS LATITUD,0.0076427935
ES_CURVA_Y_PENDIENTE,0.0076386393
CAUSA FACTOR PRINCIPAL,0.007550987
IDH_ESP_VIDA_2019,0.0075255814
PER_EDAD_COND_PROM,0.00749887
ES_FIN_SEMANA,0.0073339865
¿EXISTE SEÑAL HORIZONTAL?,0.0072876336
PER_EDAD_COND_PROM_ERA_NULO,0.006651199
HORA_NUM,0.0065940465
PER_EDAD_COND_MAX,0.0065662134
PER_ANY_COND_MASCULINO,0.0065070274
PERFIL LONGITUDINAL VÍA,0.0064906254
DIA_SEMANA,0.0064337165
REGION_NATURAL,0.006328603
PER_EDAD_COND_MIN_ERA_NULO,0.006187711
TIPO DE VÍA,0.006107924
ZONIFICACIÓN,0.005903255
PER_N_CONDUCTORES_FUGADOS,0.0023657118
MTC_RVN_N_CARRILES_MEDIANA_ERA_NULO,0.0
MTC_RVN_ES_CONCESIONADA_ERA_NULO,0.0
MTC_RVN_N_TRAMOS_ERA_NULO,0.0
MTC_RVN_LONGITUD_KM_ERA_NULO,0.0
ES_DEPTO_BAJO_PAVIMENTO,0.0
